Country,Year,Expenditure on health,Expenditure on education,Expenditure on social protection,HDI,Code,GDP per capita,Region,Global
Afghanistan,2006,1.3871497492116,4.6847606716807,0.887694871821923,0.429,AFG,1315.789063,Asia & Pacific,Global South
Afghanistan,2007,2.37641843648056,4.1748953487159,1.35756354873091,0.447,AFG,1460.825806,Asia & Pacific,Global South
Afghanistan,2008,2.31331858424625,4.38367211090707,1.78737129490638,0.447,AFG,1484.114502,Asia & Pacific,Global South
Afghanistan,2009,2.22269035976789,4.81064002285526,1.21146756416165,0.46,AFG,1758.904419,Asia & Pacific,Global South
Afghanistan,2010,2.56263397230629,5.38364626252556,5.380667662739,0.472,AFG,1957.029053,Asia & Pacific,Global South
Afghanistan,2011,3.73088912285056,4.9523342985783,2.05287472459466,0.477,AFG,1904.559937,Asia & Pacific,Global South
Afghanistan,2012,2.18668832425038,4.37464900678746,1.57138079477765,0.489,AFG,2075.491699,Asia & Pacific,Global South
Afghanistan,2013,1.81960688289477,4.7448683360136,0.980455778372783,0.496,AFG,2116.465332,Asia & Pacific,Global South
Afghanistan,2014,2.09934704917945,4.72421274968218,2.48841060396514,0.5,AFG,2102.384521,Asia & Pacific,Global South
Afghanistan,2015,1.50644573786368,4.03307214478249,1.45894456168779,0.5,AFG,2068.265869,Asia & Pacific,Global South
Afghanistan,2016,1.87985759076096,3.95378174951752,2.61428062369705,0.502,AFG,2057.067871,Asia & Pacific,Global South
Afghanistan,2017,2.0053039823787,3.68425609045007,1.84451354161154,0.506,AFG,2058.400146,Asia & Pacific,Global South
Albania,2005,2.68761664801206,3.28157315132074,7.57869707566595,0.706,ALB,8040.092773,Europe,Global North
Albania,2006,2.44259608822986,3.1914838347229,7.88053900051466,0.713,ALB,8568.561523,Europe,Global North
Albania,2007,2.4964547619474,3.27589055290716,8.01854007664354,0.722,ALB,9150.129883,Europe,Global North
Albania,2008,2.47189450228981,3.50922598858,7.96837739491874,0.728,ALB,9912.162109,Europe,Global North
Albania,2010,2.63446478144812,3.41307504755557,8.2355863331374,0.745,ALB,10749.48145,Europe,Global North
Albania,2011,2.70575952984581,3.24000844198606,8.26521295651966,0.764,ALB,11052.79395,Europe,Global North
Albania,2012,2.80720824639404,3.30906110128368,8.56540581657485,0.775,ALB,11227.9668,Europe,Global North
Albania,2013,2.79893589283968,3.36737770100707,9.15118973195107,0.782,ALB,11361.26855,Europe,Global North
Albania,2014,2.74492583695023,3.21696848858743,9.2295893941392,0.787,ALB,11586.83398,Europe,Global North
Albania,2015,2.74041592240428,3.0943857168554,9.14211053987085,0.788,ALB,11878.4541,Europe,Global North
